scenario,layout,method,mean_gain,std_gain,mean_reward,std_reward,mean_power,std_power
Scenario 1,Ablaincourt_Floris,Do-Nothing,0.0,0.0,351.1667287349701,0.0,1271.6129523458412,0.0
Scenario 1,Ablaincourt_Floris,GP,13.61068320274353,0.6845469285880996,364.7774119377136,0.6845469285880996,1319.892110494454,2.434867644024367
Scenario 1,Ablaincourt_Floris,GraphPFN,-2.770944515864054,8.084064426215173,348.395784219106,8.084064426215171,1261.7743774558928,28.851138854777734
Scenario 1,Ablaincourt_Floris,Random,-1.0411783854166667,4.564148599852807,350.1255503495534,4.564148599852801,1267.8380078976768,16.077501723297317
Scenario 1,Ablaincourt_Floris,TabPFN-Fallback,13.626891930898031,0.7062989556950281,364.7936206658681,0.7062989556950312,1319.9601149480252,2.5058608305178236
Scenario 1,HornsRev1_Floris,Do-Nothing,0.0,0.0,170.85654520988464,0.0,7114.483221048758,0.0
Scenario 1,HornsRev1_Floris,GP,7.826184193293254,0.8930462059426498,178.6827294031779,0.8930462059426499,7442.9425408819125,36.846804333571185
Scenario 1,HornsRev1_Floris,GraphPFN,4.19706944624583,1.1941779392142247,175.05361465613046,1.1941779392142278,7291.752421107853,50.4439311598634
Scenario 1,HornsRev1_Floris,Random,4.292191743850708,0.3208201782233279,175.14873695373535,0.3208201782233279,7295.040602620204,13.591196450855394
Scenario 1,HornsRev1_Floris,TabPFN-Fallback,6.184319575627645,4.028731806124026,177.0408647855123,4.0287318061240285,7373.676705573882,167.9303683609305
Scenario 1,HornsRev2_Floris,Do-Nothing,0.0,0.0,366.1971244812012,0.0,17176.019426271585,0.0
Scenario 1,HornsRev2_Floris,GP,2.060167074203491,1.212400238196124,368.25729155540466,1.212400238196124,17274.47747624873,56.84623814781841
Scenario 1,HornsRev2_Floris,GraphPFN,-0.6303095022837321,0.7688034785512573,365.5668149789174,0.7688034785512519,17147.481751948173,34.832666881290265
Scenario 1,HornsRev2_Floris,Random,-1.7277950445810955,0.5299317769862282,364.46932943662006,0.5299317769862348,17097.7851133568,24.543074162959968
Scenario 1,HornsRev2_Floris,TabPFN-Fallback,1.082825501759847,2.203994347327524,367.279949982961,2.2039943473275283,17227.505698131954,103.29958536993783
Scenario 1,Ormonde_Floris,Do-Nothing,0.0,0.0,353.1181888580322,0.0,5455.143190850181,0.0
Scenario 1,Ormonde_Floris,GP,3.867649714152018,0.29969911901363744,356.98583857218426,0.299699119013645,5515.915293808037,4.6102629108831055
Scenario 1,Ormonde_Floris,GraphPFN,1.7751051584879558,0.9052998177396764,354.8932940165202,0.9052998177396726,5483.15847097212,14.135538565798509
Scenario 1,Ormonde_Floris,Random,0.7578775882720947,0.1073900181330218,353.8760664463043,0.1073900181330218,5467.320541516206,1.6420371686449033
Scenario 1,Ormonde_Floris,TabPFN-Fallback,3.2190945148468018,0.5477861427896992,356.337283372879,0.5477861427896992,5505.802573448916,8.579859983207188
Scenario 1,Turb10_Row1_Floris,Do-Nothing,0.0,0.0,153.96447718143463,0.0,803.5031435384899,0.0
Scenario 1,Turb10_Row1_Floris,GP,20.906025727589924,6.916011663497105,174.87050290902457,6.916011663497109,912.4774559344629,35.97674636437138
Scenario 1,Turb10_Row1_Floris,GraphPFN,2.880885680516561,1.9680186665861379,156.8453628619512,1.9680186665861337,818.8287082510877,10.219163984181035
Scenario 1,Turb10_Row1_Floris,Random,2.6334216594696045,2.7935610460399447,156.59789884090424,2.7935610460399447,817.4802759756873,14.563003551346036
Scenario 1,Turb10_Row1_Floris,TabPFN-Fallback,9.740599274635315,5.989039979342411,163.70507645606995,5.989039979342411,854.4343800185748,31.264255087983187
Scenario 1,Turb11_Row1_Floris,Do-Nothing,0.0,0.0,151.40993762016296,0.0,869.6979297459562,0.0
Scenario 1,Turb11_Row1_Floris,GP,17.542192896207172,6.049732777036485,168.95213051637015,6.04973277703649,970.5073361149816,34.70126567523581
Scenario 1,Turb11_Row1_Floris,GraphPFN,4.988923788070679,2.0449837315558694,156.39886140823364,2.0449837315558694,898.538331240783,11.711188107383293
Scenario 1,Turb11_Row1_Floris,Random,3.132162094116211,4.053573284233576,154.54209971427917,4.053573284233576,887.9165459788879,23.236791601910955
Scenario 1,Turb11_Row1_Floris,TabPFN-Fallback,21.686185121536255,2.119831712168696,173.09612274169922,2.119831712168696,994.1876536121554,12.096285563770017
Scenario 1,Turb12_Row1_Floris,Do-Nothing,0.0,0.0,149.30579376220703,0.0,936.0774073920564,0.0
Scenario 1,Turb12_Row1_Floris,GP,17.00686518351237,2.542189919411843,166.3126589457194,2.542189919411843,1042.5967088128216,15.948318421392074
Scenario 1,Turb12_Row1_Floris,GraphPFN,4.2121148109436035,3.045347209594007,153.51790857315063,3.045347209594007,962.7177654788844,18.881533521437845
Scenario 1,Turb12_Row1_Floris,Random,3.951431711514791,5.303215897334279,153.25722547372183,5.3032158973342804,961.0331466708211,33.117519005251054
Scenario 1,Turb12_Row1_Floris,TabPFN-Fallback,16.886601607004803,3.922848824557942,166.19239536921182,3.922848824557947,1041.8724570049062,24.53760470768004
Scenario 1,Turb16_Row5_Floris,Do-Nothing,0.0,0.0,338.05656719207764,0.0,2785.972898226248,0.0
Scenario 1,Turb16_Row5_Floris,GP,3.262373367945353,0.21166503186158053,341.318940560023,0.21166503186158717,2813.2492881902035,1.7613826835325705
Scenario 1,Turb16_Row5_Floris,GraphPFN,1.9757079283396404,0.45790756967113666,340.0322751204173,0.45790756967113444,2802.6984439632724,3.8151921037772323
Scenario 1,Turb16_Row5_Floris,Random,1.68766450881958,0.4393609938144342,339.7442317008972,0.4393609938144342,2800.303653146382,3.7205719947890743
Scenario 1,Turb16_Row5_Floris,TabPFN-Fallback,2.567911465962728,0.6088647677649959,340.62447865804035,0.6088647677649954,2807.531466873263,5.020631696452535
Scenario 1,Turb2_Row1_Floris,Do-Nothing,0.0,0.0,296.28914642333984,0.0,306.0550218783376,0.0
Scenario 1,Turb2_Row1_Floris,GP,0.6029617786407471,0.09599266101321408,296.8921082019806,0.09599266101321408,306.76342146021835,0.09153491125647147
