scenario,layout,seed,method,reward,power,predicted_reward,test_wind_speed,test_wind_direction,train_wind_speed_min,train_wind_speed_max,train_wind_direction_min,train_wind_direction_max,n_turbines
Scenario 1,Ormonde_Floris,0,Random,353.99995017051697,5469.207962204144,,8.0,270.0,8.0,8.0,270.0,270.0,30
Scenario 1,Ormonde_Floris,0,GP,357.02259159088135,5516.451546742363,357.0225825604494,8.0,270.0,8.0,8.0,270.0,270.0,30
Scenario 1,Ormonde_Floris,0,TabPFN-Fallback,356.96012020111084,5515.565661074937,355.70757073163986,8.0,270.0,8.0,8.0,270.0,270.0,30
Scenario 1,Ormonde_Floris,0,GraphPFN,355.45128989219666,5491.909527799682,354.25042724609375,8.0,270.0,8.0,8.0,270.0,270.0,30
Scenario 2,Ormonde_Floris,0,Do-Nothing,353.1181888580322,5455.143190850181,,8.0,270.0,5.930423736572266,9.5352783203125,238.54698181152344,319.4486999511719,30
Scenario 2,Ormonde_Floris,0,Random,353.99995017051697,5469.207962204144,,8.0,270.0,5.930423736572266,9.5352783203125,238.54698181152344,319.4486999511719,30
Scenario 2,Ormonde_Floris,0,GP,353.99995017051697,5469.207962204144,418.6895446777344,8.0,270.0,5.930423736572266,9.5352783203125,238.54698181152344,319.4486999511719,30
Scenario 2,Ormonde_Floris,0,TabPFN-Fallback,355.24228048324585,5488.517826447507,436.2935195763907,8.0,270.0,5.930423736572266,9.5352783203125,238.54698181152344,319.4486999511719,30
Scenario 2,Ormonde_Floris,0,GraphPFN,355.92801809310913,5499.339159055678,419.17083740234375,8.0,270.0,5.930423736572266,9.5352783203125,238.54698181152344,319.4486999511719,30
Scenario 1,Ormonde_Floris,1,Do-Nothing,353.1181888580322,5455.143190850181,,8.0,270.0,8.0,8.0,270.0,270.0,30
Scenario 1,Ormonde_Floris,1,Random,353.8094093799591,5466.220247573897,,8.0,270.0,8.0,8.0,270.0,270.0,30
Scenario 1,Ormonde_Floris,1,GP,357.2654662132263,5520.233979817996,356.06309577204286,8.0,270.0,8.0,8.0,270.0,270.0,30
Scenario 1,Ormonde_Floris,1,TabPFN-Fallback,356.1213917732239,5502.37896905042,355.38267536958085,8.0,270.0,8.0,8.0,270.0,270.0,30
Scenario 1,Ormonde_Floris,1,GraphPFN,353.8487582206726,5466.850729693754,353.8716735839844,8.0,270.0,8.0,8.0,270.0,270.0,30
